CI_Name_aff,Service_Component_WBS_aff,Impact,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
SUB000456,WBS000073,4 Low,4 Low,KM0001179,1.0,0.0,0.0,0,11,Thursday,subapplication-Web Based Application
WBA000133,WBS000073,3 Medium,3 Medium,KM0000773,1.0,0.0,0.0,0,11,Thursday,application-Web Based Application
LAP000002,WBS000091,4 Low,4 Low,KM0002031,1.0,0.0,0.0,1,11,Thursday,computer-Laptop
SBA000462,WBS000073,4 Low,4 Low,KM0001828,1.0,0.0,0.0,0,11,Thursday,application-Server Based Application
WBA000133,WBS000073,3 Medium,3 Medium,KM0000773,1.0,0.0,0.0,1,12,Thursday,application-Web Based Application
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,1.0,1,12,Thursday,subapplication-Web Based Application
LAP000615,WBS000091,4 Low,4 Low,KM0000966,1.0,0.0,0.0,1,12,Thursday,computer-Laptop
DTA000616,WBS000092,4 Low,4 Low,KM0001968,1.0,0.0,0.0,1,12,Thursday,application-Desktop Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,12,Thursday,application-Web Based Application
WBA000128,WBS000002,5 Very Low,5 Very Low,KM0001857,1.0,0.0,0.0,0,12,Thursday,application-Web Based Application
LAP001133,WBS000187,5 Very Low,5 Very Low,KM0001447,1.0,0.0,0.0,1,12,Thursday,computer-Laptop
SBA000464,WBS000073,4 Low,4 Low,KM0001684,1.0,0.0,0.0,1,12,Thursday,application-Server Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0001684,1.0,0.0,0.0,1,12,Thursday,subapplication-Web Based Application
SUB000113,WBS000095,5 Very Low,5 Very Low,KM0001545,1.0,0.0,0.0,0,12,Thursday,subapplication-Server Based Application
WBA000116,WBS000066,4 Low,4 Low,KM0000579,1.0,0.0,0.0,1,13,Thursday,application-Web Based Application
WBA000018,WBS000073,4 Low,4 Low,KM0000720,1.0,0.0,0.0,1,13,Thursday,application-Web Based Application
SBA000054,WBS000013,3 Medium,3 Medium,KM0000052,1.0,0.0,0.0,0,13,Thursday,application-Server Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0000705,1.0,0.0,0.0,0,13,Thursday,subapplication-Web Based Application
SBA000834,WBS000223,4 Low,4 Low,KM0001308,3.0,0.0,0.0,1,13,Thursday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,13,Thursday,application-Server Based Application
SBA000659,WBS000128,4 Low,4 Low,KM0000622,1.0,0.0,0.0,0,14,Thursday,application-Server Based Application
SBA000782,WBS000043,5 Very Low,5 Very Low,KM0001763,1.0,0.0,0.0,0,14,Thursday,application-Server Based Application
DTA000021,WBS000102,3 Medium,3 Medium,KM0001543,1.0,0.0,0.0,0,14,Thursday,application-Desktop Application
WBA000103,WBS000073,4 Low,4 Low,KM0001624,1.0,0.0,0.0,0,14,Thursday,application-Web Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0000702,1.0,0.0,0.0,1,14,Thursday,subapplication-Web Based Application
SAP000003,WBS000271,4 Low,4 Low,KM0001163,1.0,0.0,0.0,1,14,Thursday,application-SAP
OVR000025,WBS000118,4 Low,4 Low,KM0000964,1.0,0.0,0.0,0,14,Thursday,no type-no subtype
WBA000144,WBS000318,4 Low,4 Low,KM0000836,1.0,0.0,0.0,0,14,Thursday,application-Web Based Application
DTA000016,WBS000096,3 Medium,3 Medium,KM0001600,1.0,0.0,0.0,0,14,Thursday,application-Desktop Application
SUB000113,WBS000095,4 Low,4 Low,KM0001345,1.0,0.0,0.0,0,11,Thursday,subapplication-Server Based Application
WBA000133,WBS000073,5 Very Low,5 Very Low,KM0001156,1.0,0.0,0.0,1,12,Thursday,application-Web Based Application
DSK000290,WBS000187,5 Very Low,5 Very Low,KM0001446,1.0,0.0,0.0,0,13,Thursday,computer-Desktop
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000075,1.0,0.0,0.0,1,14,Thursday,application-Web Based Application
SBA000626,WBS000255,4 Low,4 Low,KM0000588,1.0,0.0,0.0,1,14,Thursday,application-Server Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,1.0,0.0,0.0,1,14,Thursday,subapplication-Web Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,1.0,0.0,0.0,0,14,Thursday,subapplication-Web Based Application
SCN000001,WBS000326,3 Medium,3 Medium,KM0001491,1.0,0.0,0.0,0,15,Thursday,officeelectronics-Scanner
WBA000034,WBS000277,3 Medium,3 Medium,KM0000953,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
WBA000103,WBS000073,4 Low,4 Low,KM0001624,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
LAP000772,WBS000091,5 Very Low,5 Very Low,KM0000315,1.0,0.0,0.0,0,15,Thursday,computer-Laptop
SUB000456,WBS000073,4 Low,4 Low,KM0000751,1.0,0.0,0.0,0,16,Thursday,subapplication-Web Based Application
SBA000074,WBS000152,5 Very Low,5 Very Low,KM0001792,1.0,0.0,0.0,0,16,Thursday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000751,1.0,0.0,0.0,0,16,Thursday,subapplication-Web Based Application
SBA000317,WBS000048,5 Very Low,5 Very Low,KM0000310,1.0,0.0,0.0,0,17,Thursday,application-Server Based Application
SBA000617,WBS000199,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,8,Friday,application-Server Based Application
WBA000145,WBS000318,5 Very Low,5 Very Low,KM0001417,1.0,0.0,0.0,1,8,Friday,application-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001772,1.0,0.0,0.0,0,8,Friday,application-Server Based Application
SUB000424,WBS000073,5 Very Low,5 Very Low,KM0000704,1.0,0.0,0.0,1,8,Friday,subapplication-Web Based Application
SUB000523,WBS000073,4 Low,4 Low,KM0000818,1.0,0.0,0.0,1,8,Friday,subapplication-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,9,Friday,application-Server Based Application
STA000017,WBS000027,5 Very Low,5 Very Low,KM0001603,1.0,0.0,0.0,1,9,Friday,application-Standard Application
WSR001942,WBS000102,4 Low,4 Low,KM0000970,1.0,0.0,0.0,0,9,Friday,computer-Windows Server
SBA000626,WBS000255,4 Low,4 Low,KM0000588,1.0,0.0,0.0,1,10,Friday,application-Server Based Application
SAN000178,WBS000128,4 Low,4 Low,KM0000963,1.0,0.0,0.0,1,10,Friday,storage-SAN
ESC000082,WBS000102,3 Medium,3 Medium,KM0001276,1.0,0.0,0.0,0,10,Friday,computer-ESX Cluster
WBA000018,WBS000073,4 Low,4 Low,KM0000720,1.0,0.0,0.0,1,10,Friday,application-Web Based Application
ESC000078,WBS000102,3 Medium,3 Medium,KM0001256,1.0,0.0,0.0,0,10,Friday,computer-ESX Cluster
SBA000458,WBS000073,5 Very Low,5 Very Low,KM0002128,1.0,0.0,0.0,1,10,Friday,application-Server Based Application
SUB000523,WBS000073,4 Low,4 Low,KM0000818,1.0,0.0,0.0,0,10,Friday,subapplication-Web Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,0,10,Friday,application-Web Based Application
DTA000056,WBS000091,4 Low,4 Low,KM0002040,1.0,0.0,0.0,0,10,Friday,application-Desktop Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,11,Friday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,11,Friday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,2.0,0.0,0.0,0,11,Friday,application-Server Based Application
SUB000521,WBS000073,4 Low,4 Low,KM0001496,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,11,Thursday,subapplication-Web Based Application
DTA000616,WBS000092,4 Low,4 Low,KM0000988,2.0,0.0,0.0,1,11,Thursday,application-Desktop Application
SBA000612,WBS000121,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,11,Thursday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000738,1.0,0.0,0.0,0,12,Thursday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000751,1.0,0.0,0.0,0,12,Thursday,subapplication-Web Based Application
WBA000144,WBS000318,5 Very Low,5 Very Low,KM0000836,1.0,0.0,0.0,0,12,Thursday,application-Web Based Application
WBA000008,WBS000167,5 Very Low,5 Very Low,KM0000069,1.0,0.0,0.0,1,12,Thursday,application-Web Based Application
SBA000131,WBS000023,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,12,Thursday,application-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,12,Thursday,application-Web Based Application
WBA000133,WBS000073,4 Low,4 Low,KM0001152,1.0,0.0,0.0,0,13,Thursday,application-Web Based Application
WBA000128,WBS000002,4 Low,4 Low,KM0000687,1.0,0.0,0.0,0,13,Thursday,application-Web Based Application
SBA000729,WBS000101,4 Low,4 Low,KM0000862,1.0,0.0,0.0,1,13,Thursday,application-Server Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,0.0,0.0,0.0,1,13,Thursday,subapplication-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0000846,2.0,0.0,0.0,1,13,Thursday,application-Web Based Application
SBA000464,WBS000073,4 Low,4 Low,KM0001314,2.0,0.0,0.0,0,13,Thursday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001651,1.0,0.0,0.0,0,13,Thursday,application-Server Based Application
ASW000010,WBS000284,4 Low,4 Low,KM0000479,1.0,0.0,0.0,0,13,Thursday,software-Automation Software
LAP000016,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,0,13,Thursday,computer-Laptop
SBA000462,WBS000073,4 Low,4 Low,KM0001829,1.0,0.0,0.0,0,13,Thursday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,13,Thursday,application-Server Based Application
DTA000057,WBS000094,5 Very Low,5 Very Low,KM0001655,1.0,0.0,0.0,0,14,Thursday,application-Desktop Application
WBA000058,WBS000073,4 Low,4 Low,KM0000819,1.0,0.0,0.0,0,14,Thursday,application-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,14,Thursday,subapplication-Web Based Application
APP000005,WBS000292,4 Low,4 Low,KM0001060,1.0,0.0,0.0,1,14,Thursday,application-Citrix
DTA000056,WBS000091,3 Medium,3 Medium,KM0001012,1.0,0.0,0.0,1,14,Thursday,application-Desktop Application
SUB000540,WBS000066,3 Medium,3 Medium,KM0001066,1.0,0.0,0.0,0,14,Thursday,subapplication-Web Based Application
SBA000759,WBS000296,3 Medium,3 Medium,KM0001253,1.0,0.0,0.0,0,14,Thursday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001587,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
WBA000082,WBS000055,4 Low,4 Low,KM0000401,1.0,0.0,0.0,1,13,Thursday,application-Web Based Application
WBA000133,WBS000073,5 Very Low,5 Very Low,KM0001481,1.0,0.0,0.0,0,13,Thursday,application-Web Based Application
SUB000523,WBS000073,4 Low,4 Low,KM0000818,1.0,0.0,0.0,0,14,Thursday,subapplication-Web Based Application
DTA000016,WBS000096,4 Low,4 Low,KM0001026,1.0,0.0,0.0,1,14,Thursday,application-Desktop Application
OVR000025,WBS000118,4 Low,4 Low,KM0001146,1.0,0.0,0.0,0,14,Thursday,no type-no subtype
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,14,Thursday,application-Server Based Application
DTA000025,WBS000110,4 Low,4 Low,KM0001094,1.0,0.0,0.0,0,14,Thursday,application-Desktop Application
DTA000025,WBS000110,4 Low,4 Low,KM0001094,1.0,0.0,0.0,0,14,Thursday,application-Desktop Application
WBA000124,WBS000088,3 Medium,3 Medium,KM0000611,1.0,0.0,0.0,1,14,Thursday,application-Web Based Application
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000075,1.0,0.0,0.0,0,14,Thursday,application-Web Based Application
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000081,1.0,0.0,0.0,0,14,Thursday,application-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0002134,2.0,0.0,0.0,1,14,Thursday,application-Server Based Application
SUB000424,WBS000073,5 Very Low,5 Very Low,KM0000703,1.0,0.0,0.0,0,14,Thursday,subapplication-Web Based Application
WBA000018,WBS000073,4 Low,4 Low,KM0001914,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
SUB000113,WBS000095,4 Low,4 Low,KM0001345,1.0,0.0,0.0,0,15,Thursday,subapplication-Server Based Application
WBA000018,WBS000073,4 Low,4 Low,KM0001609,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
LAP001708,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,1,15,Thursday,computer-Laptop
LAP001742,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,0,15,Thursday,computer-Laptop
SBA000462,WBS000073,4 Low,4 Low,KM0001915,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001828,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0000819,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
WBA000011,WBS000152,4 Low,4 Low,KM0001626,2.0,0.0,0.0,1,15,Thursday,application-Web Based Application
DTA000616,WBS000092,4 Low,4 Low,KM0001968,1.0,0.0,0.0,1,16,Thursday,application-Desktop Application
SBA000017,WBS000099,3 Medium,3 Medium,KM0000480,1.0,0.0,0.0,0,16,Thursday,application-Server Based Application
SUB000545,WBS000073,5 Very Low,5 Very Low,KM0000795,1.0,0.0,0.0,0,16,Thursday,subapplication-Web Based Application
SBA000317,WBS000048,5 Very Low,5 Very Low,KM0000310,1.0,0.0,0.0,0,16,Thursday,application-Server Based Application
DTA000016,WBS000096,4 Low,4 Low,KM0001026,1.0,0.0,0.0,1,17,Thursday,application-Desktop Application
SUB000456,WBS000073,3 Medium,3 Medium,KM0001036,1.0,0.0,0.0,0,17,Thursday,subapplication-Web Based Application
STA000013,WBS000102,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,7,Friday,application-Standard Application
DTA000057,WBS000094,5 Very Low,5 Very Low,KM0002073,1.0,0.0,0.0,1,9,Friday,application-Desktop Application
SSW000356,WBS000199,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,9,Friday,software-System Software
SBA000659,WBS000128,4 Low,4 Low,KM0002059,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001587,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
SBA000096,WBS000223,5 Very Low,5 Very Low,KM0001659,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
SBA000464,WBS000073,4 Low,4 Low,KM0001414,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
SUB000030,WBS000162,3 Medium,4 Low,KM0001342,1.0,0.0,0.0,0,15,Thursday,subapplication-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0000819,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
DTA000616,WBS000092,4 Low,4 Low,KM0001652,1.0,0.0,0.0,0,15,Thursday,application-Desktop Application
WBA000103,WBS000073,5 Very Low,5 Very Low,KM0001079,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0002043,1.0,0.0,0.0,0,15,Thursday,application-Web Based Application
APP000005,WBS000292,4 Low,4 Low,KM0001060,1.0,0.0,0.0,0,15,Thursday,application-Citrix
SBA000295,WBS000268,2 High,2 High,KM0000363,1.0,0.0,0.0,0,15,Thursday,application-Server Based Application
SBA000458,WBS000073,4 Low,4 Low,KM0001539,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SBA000847,WBS000199,3 Medium,3 Medium,KM0000940,2.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SBA000458,WBS000073,4 Low,4 Low,KM0001539,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SUB000443,WBS000125,5 Very Low,5 Very Low,KM0001158,1.0,0.0,0.0,0,16,Thursday,subapplication-Web Based Application
SBA000747,WBS000326,3 Medium,3 Medium,KM0001699,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SBA000464,WBS000073,4 Low,4 Low,KM0001314,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SBA000088,WBS000017,4 Low,4 Low,KM0000096,1.0,0.0,0.0,0,16,Thursday,application-Server Based Application
WBA000133,WBS000073,4 Low,5 Very Low,KM0000711,1.0,0.0,0.0,1,16,Thursday,application-Web Based Application
WBA000124,WBS000088,4 Low,4 Low,KM0000611,1.0,0.0,0.0,1,16,Thursday,application-Web Based Application
WBA000124,WBS000088,4 Low,4 Low,KM0000611,2.0,0.0,0.0,1,16,Thursday,application-Web Based Application
WBA000124,WBS000088,4 Low,4 Low,KM0000611,1.0,0.0,0.0,1,16,Thursday,application-Web Based Application
SBA000317,WBS000048,5 Very Low,5 Very Low,KM0000310,1.0,0.0,0.0,0,18,Thursday,application-Server Based Application
SBA000317,WBS000048,2 High,2 High,KM0000310,1.0,0.0,0.0,0,18,Thursday,application-Server Based Application
SBA000317,WBS000048,4 Low,4 Low,KM0000310,1.0,0.0,0.0,0,18,Thursday,application-Server Based Application
COM000003,WBS000098,4 Low,4 Low,KM0000911,1.0,0.0,0.0,0,19,Thursday,computer-Omgeving
COM000003,WBS000098,4 Low,4 Low,KM0000911,1.0,0.0,0.0,0,19,Thursday,computer-Omgeving
LAP000445,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,0,8,Friday,computer-Laptop
SUB000456,WBS000073,4 Low,4 Low,KM0000761,1.0,0.0,0.0,0,9,Friday,subapplication-Web Based Application
WBA000001,WBS000107,3 Medium,3 Medium,KM0000557,1.0,0.0,0.0,0,9,Friday,application-Web Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0000702,1.0,0.0,0.0,1,15,Thursday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,15,Thursday,subapplication-Web Based Application
SBA000284,WBS000077,3 Medium,3 Medium,KM0000232,1.0,0.0,0.0,1,15,Thursday,application-Server Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000738,1.0,0.0,0.0,0,15,Thursday,subapplication-Web Based Application
DTA000057,WBS000094,5 Very Low,5 Very Low,KM0001598,1.0,0.0,0.0,0,15,Thursday,application-Desktop Application
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000075,1.0,0.0,0.0,1,15,Thursday,application-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0000839,1.0,0.0,0.0,1,16,Thursday,application-Web Based Application
CBA000014,WBS000073,4 Low,4 Low,KM0001346,1.0,0.0,0.0,0,16,Thursday,application-Client Based Application
SBA000782,WBS000043,5 Very Low,5 Very Low,KM0001763,1.0,0.0,0.0,0,16,Thursday,application-Server Based Application
SBA000296,WBS000053,3 Medium,3 Medium,KM0000366,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
SBA000585,WBS000077,4 Low,4 Low,KM0000563,1.0,0.0,0.0,1,16,Thursday,application-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0000839,1.0,0.0,0.0,1,16,Thursday,application-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0000846,1.0,0.0,0.0,0,16,Thursday,application-Web Based Application
SAN000182,WBS000128,4 Low,4 Low,KM0002146,1.0,0.0,0.0,1,16,Thursday,storage-SAN
SBA000782,WBS000043,3 Medium,3 Medium,KM0001763,1.0,0.0,0.0,0,17,Thursday,application-Server Based Application
WBA000124,WBS000088,4 Low,4 Low,KM0000611,1.0,1.0,0.0,1,17,Thursday,application-Web Based Application
DTA000027,WBS000217,4 Low,4 Low,KM0001145,1.0,0.0,0.0,1,17,Thursday,application-Desktop Application
SBA000154,WBS000027,4 Low,4 Low,KM0000895,1.0,0.0,0.0,0,6,Friday,application-Server Based Application
DTA000057,WBS000094,4 Low,4 Low,KM0001655,1.0,0.0,0.0,0,8,Friday,application-Desktop Application
SUB000113,WBS000095,4 Low,4 Low,KM0001345,1.0,0.0,0.0,0,8,Friday,subapplication-Server Based Application
SBA000590,WBS000149,5 Very Low,5 Very Low,KM0000570,1.0,0.0,0.0,0,8,Friday,application-Server Based Application
SBA000045,WBS000170,3 Medium,3 Medium,KM0000997,1.0,0.0,0.0,0,8,Friday,application-Server Based Application
WBA000008,WBS000167,5 Very Low,5 Very Low,KM0000073,2.0,0.0,0.0,1,9,Friday,application-Web Based Application
SUB000545,WBS000073,5 Very Low,5 Very Low,KM0000795,1.0,0.0,0.0,0,9,Friday,subapplication-Web Based Application
SAN000182,WBS000128,4 Low,4 Low,KM0002126,1.0,0.0,0.0,1,9,Friday,storage-SAN
WBA000001,WBS000107,3 Medium,3 Medium,KM0000557,1.0,0.0,0.0,0,9,Friday,application-Web Based Application
DTA000023,WBS000093,4 Low,4 Low,KM0001306,1.0,0.0,0.0,1,9,Friday,application-Desktop Application
SBA000659,WBS000128,4 Low,4 Low,KM0002059,1.0,0.0,0.0,0,9,Friday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,9,Friday,application-Server Based Application
SUB000545,WBS000073,4 Low,4 Low,KM0000795,1.0,0.0,0.0,0,9,Friday,subapplication-Web Based Application
SBA000626,WBS000255,3 Medium,3 Medium,KM0000588,1.0,0.0,0.0,0,9,Friday,application-Server Based Application
SUB000424,WBS000073,5 Very Low,5 Very Low,KM0000703,1.0,0.0,0.0,0,9,Friday,subapplication-Web Based Application
SPF000018,WBS000136,4 Low,4 Low,KM0001323,1.0,0.0,0.0,1,9,Friday,application-SharePoint Farm
SBA000743,WBS000076,5 Very Low,5 Very Low,KM0001779,1.0,0.0,0.0,0,9,Friday,application-Server Based Application
APP000005,WBS000292,4 Low,4 Low,KM0001059,1.0,0.0,0.0,0,10,Friday,application-Citrix
SBA000017,WBS000099,3 Medium,3 Medium,KM0000012,1.0,0.0,0.0,0,10,Friday,application-Server Based Application
DTA000024,WBS000093,4 Low,4 Low,KM0000337,1.0,0.0,0.0,1,10,Friday,application-Desktop Application
LAP000188,WBS000091,5 Very Low,5 Very Low,KM0000315,1.0,0.0,0.0,1,10,Friday,computer-Laptop
DTA000057,WBS000094,5 Very Low,5 Very Low,KM0001655,1.0,0.0,0.0,0,10,Friday,application-Desktop Application
SBA000782,WBS000043,5 Very Low,5 Very Low,KM0001763,2.0,0.0,0.0,1,10,Friday,application-Server Based Application
DTA000025,WBS000110,4 Low,4 Low,KM0000833,1.0,0.0,0.0,1,10,Friday,application-Desktop Application
SUB000456,WBS000073,4 Low,4 Low,KM0000738,1.0,0.0,0.0,0,10,Friday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000738,1.0,0.0,0.0,0,10,Friday,subapplication-Web Based Application
LAP001837,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,0,10,Friday,computer-Laptop
SUB000456,WBS000073,4 Low,4 Low,KM0001179,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,1.0,0.0,0.0,1,11,Friday,subapplication-Web Based Application
SBA000026,WBS000223,4 Low,4 Low,KM0000032,1.0,0.0,0.0,0,11,Friday,application-Server Based Application
SBA000326,WBS000294,3 Medium,3 Medium,KM0001745,1.0,0.0,0.0,0,11,Friday,application-Server Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,1.0,0.0,0.0,1,11,Friday,subapplication-Web Based Application
SUB000002,WBS000098,4 Low,4 Low,KM0001435,1.0,0.0,0.0,1,11,Friday,subapplication-Citrix
SUB000456,WBS000073,4 Low,4 Low,KM0001654,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
SBA000279,WBS000243,3 Medium,3 Medium,KM0000229,1.0,0.0,0.0,1,11,Friday,application-Server Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,1,11,Friday,application-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,11,Friday,application-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,11,Friday,application-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,0,11,Friday,application-Web Based Application
WBA000124,WBS000088,3 Medium,3 Medium,KM0000611,1.0,0.0,1.0,0,9,Friday,application-Web Based Application
SBA000407,WBS000209,5 Very Low,5 Very Low,KM0000036,1.0,1.0,0.0,1,9,Friday,application-Server Based Application
WBA000133,WBS000073,4 Low,4 Low,KM0000734,3.0,0.0,0.0,1,10,Friday,application-Web Based Application
CBA000014,WBS000073,5 Very Low,5 Very Low,KM0001707,1.0,0.0,0.0,0,11,Friday,application-Client Based Application
SUB000523,WBS000073,4 Low,4 Low,KM0000818,1.0,0.0,0.0,0,11,Friday,subapplication-Web Based Application
DTA000616,WBS000092,3 Medium,3 Medium,KM0001625,3.0,0.0,0.0,0,11,Friday,application-Desktop Application
WBA000133,WBS000073,4 Low,5 Very Low,KM0000711,1.0,0.0,0.0,0,11,Friday,application-Web Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,12,Friday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,0,12,Friday,application-Server Based Application
WBA000133,WBS000073,4 Low,4 Low,KM0001452,1.0,0.0,0.0,0,12,Friday,application-Web Based Application
LAP001700,WBS000091,5 Very Low,5 Very Low,KM0001444,1.0,0.0,0.0,1,17,Friday,computer-Laptop
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,0,13,Saturday,application-Server Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,1,13,Saturday,application-Server Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,1,14,Saturday,application-Server Based Application
APP000005,WBS000292,4 Low,4 Low,KM0001058,1.0,0.0,0.0,0,7,Monday,application-Citrix
SBA000729,WBS000101,4 Low,4 Low,KM0000866,1.0,0.0,0.0,1,8,Monday,application-Server Based Application
APP000005,WBS000292,4 Low,4 Low,KM0000924,1.0,0.0,0.0,0,8,Monday,application-Citrix
