Service_Component_WBS_aff,Urgency,KM_number,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff,RelatedIncidents,RelatedChanges,RelatedInteractions
WBS000199,3 Medium,KM0000940,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000146,4 Low,KM0000281,0,8,Monday,computer-Banking Device,None,None,One (1)
WBS000092,4 Low,KM0002055,0,8,Monday,application-Desktop Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001350,0,12,Sunday,application-Server Based Application,None,None,One (1)
WBS000292,4 Low,KM0001060,0,7,Monday,application-Citrix,None,None,One (1)
WBS000307,3 Medium,KM0001350,0,7,Monday,application-Server Based Application,None,None,One (1)
WBS000152,2 High,KM0001472,0,7,Monday,application-Server Based Application,None,One,Some (6-10)
WBS000091,5 Very Low,KM0001444,0,8,Monday,computer-Laptop,None,None,One (1)
WBS000146,3 Medium,KM0000280,0,8,Monday,computer-Banking Device,None,None,Few (2-5)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000244,4 Low,KM0000674,1,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001682,1,8,Monday,application-Web Based Application,None,None,One (1)
WBS000005,4 Low,KM0001100,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000098,4 Low,KM0001435,0,9,Monday,subapplication-Citrix,None,None,One (1)
WBS000215,4 Low,KM0000333,1,9,Monday,networkcomponents-Lines,None,None,One (1)
WBS000101,4 Low,KM0000866,1,9,Monday,application-Server Based Application,None,None,One (1)
WBS000292,4 Low,KM0001476,0,9,Monday,application-Citrix,None,None,One (1)
WBS000073,4 Low,KM0002044,0,9,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000146,2 High,KM0000491,1,9,Monday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0001729,1,9,Monday,subapplication-Web Based Application,None,None,Few (2-5)
WBS000130,5 Very Low,KM0001436,0,10,Monday,application-Desktop Application,None,None,One (1)
WBS000239,4 Low,KM0000283,0,10,Monday,database-Database,None,None,One (1)
WBS000146,2 High,KM0000274,0,10,Monday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000816,0,10,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000825,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000134,4 Low,KM0001339,0,10,Monday,software-System Software,None,None,One (1)
WBS000094,5 Very Low,KM0001205,1,10,Monday,application-Desktop Application,None,None,One (1)
WBS000318,4 Low,KM0000846,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000091,4 Low,KM0002040,0,10,Monday,application-Desktop Application,None,None,One (1)
WBS000223,4 Low,KM0000083,1,11,Monday,application-Server Based Application,None,None,One (1)
WBS000146,2 High,KM0000491,0,11,Monday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000720,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,11,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001418,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001395,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000207,3 Medium,KM0000036,0,5,Sunday,networkcomponents-Switch,None,One,One (1)
WBS000285,2 High,KM0000379,0,19,Sunday,application-Server Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001321,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000095,4 Low,KM0001348,0,8,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000093,4 Low,KM0000911,0,8,Monday,application-Desktop Application,None,None,One (1)
WBS000091,3 Medium,KM0001012,0,8,Monday,application-Desktop Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001472,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001829,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000217,3 Medium,KM0001145,1,8,Monday,application-Desktop Application,None,None,One (1)
WBS000268,3 Medium,KM0000363,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000072,5 Very Low,KM0001108,1,9,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000091,5 Very Low,KM0001444,0,9,Monday,computer-Laptop,None,None,One (1)
WBS000234,4 Low,KM0001093,0,9,Monday,application-Desktop Application,None,None,One (1)
WBS000025,4 Low,KM0000148,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000217,4 Low,KM0001145,0,9,Monday,application-Desktop Application,None,None,One (1)
WBS000073,5 Very Low,KM0000711,1,9,Monday,application-Web Based Application,None,None,One (1)
WBS000025,4 Low,KM0000148,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000012,4 Low,KM0001979,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000094,5 Very Low,KM0001658,1,9,Monday,application-Desktop Application,None,None,One (1)
WBS000012,4 Low,KM0001979,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,9,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000013,3 Medium,KM0000052,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000025,4 Low,KM0000148,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000099,3 Medium,KM0000480,0,8,Monday,application-Server Based Application,None,None,One (1)
WBS000012,5 Very Low,KM0001979,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0000076,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000819,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000244,4 Low,KM0000674,1,9,Monday,application-Server Based Application,None,None,One (1)
WBS000054,3 Medium,KM0000648,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000720,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,0,9,Monday,application-Server Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0000693,1,10,Monday,application-Web Based Application,None,None,One (1)
WBS000267,3 Medium,KM0000056,0,10,Monday,hardware-DataCenterEquipment,None,None,One (1)
WBS000091,3 Medium,KM0001955,1,10,Monday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0000741,0,10,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,10,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0000795,0,10,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001245,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000147,4 Low,KM0000131,0,11,Monday,computer-Banking Device,None,None,One (1)
WBS000088,4 Low,KM0000611,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000088,4 Low,KM0000611,0,11,Monday,application-Web Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000720,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000052,5 Very Low,KM0000358,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001259,0,12,Monday,application-Web Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0000075,0,12,Monday,application-Web Based Application,None,None,One (1)
WBS000146,2 High,KM0000274,0,12,Monday,computer-Banking Device,None,None,One (1)
WBS000016,3 Medium,KM0000435,0,12,Monday,computer-Banking Device,None,None,One (1)
WBS000023,3 Medium,KM0000940,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000092,3 Medium,KM0001973,0,12,Monday,application-Desktop Application,None,None,One (1)
WBS000187,4 Low,KM0002055,1,12,Monday,computer-Desktop,None,None,Few (2-5)
WBS000073,4 Low,KM0001773,0,13,Monday,application-Server Based Application,None,None,One (1)
WBS000094,5 Very Low,KM0001655,0,13,Monday,application-Desktop Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,13,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000066,4 Low,KM0000931,0,13,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001446,0,13,Monday,computer-Desktop,None,None,One (1)
WBS000092,4 Low,KM0001973,0,9,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001245,0,9,Monday,application-Web Based Application,None,None,One (1)
WBS000055,4 Low,KM0000401,1,10,Monday,application-Web Based Application,One,One,One (1)
WBS000285,5 Very Low,KM0001757,0,10,Monday,application-Server Based Application,None,None,One (1)
WBS000292,4 Low,KM0001131,0,10,Monday,application-Citrix,None,None,One (1)
WBS000292,4 Low,KM0001060,0,10,Monday,application-Citrix,None,None,One (1)
WBS000073,4 Low,KM0001363,0,10,Monday,application-Server Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001732,0,11,Monday,application-Web Based Application,None,None,One (1)
WBS000255,4 Low,KM0000588,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000268,4 Low,KM0000368,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,1,11,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000204,3 Medium,KM0001141,0,11,Monday,no type-no subtype,None,None,One (1)
WBS000167,5 Very Low,KM0000069,1,11,Monday,application-Web Based Application,None,More,One (1)
WBS000182,3 Medium,KM0001141,0,11,Monday,storage-Controller,None,None,One (1)
WBS000073,4 Low,KM0001828,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000063,4 Low,KM0001406,0,12,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001651,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000146,2 High,KM0000274,0,12,Monday,computer-Banking Device,None,None,One (1)
WBS000110,4 Low,KM0001094,0,12,Monday,application-Desktop Application,None,None,One (1)
WBS000307,4 Low,KM0001859,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000125,4 Low,KM0000206,0,12,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000091,5 Very Low,KM0001444,0,12,Monday,computer-Laptop,None,None,One (1)
WBS000318,5 Very Low,KM0000836,1,10,Monday,application-Web Based Application,None,None,Few (2-5)
WBS000073,5 Very Low,KM0001362,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,0,10,Monday,application-Server Based Application,None,None,One (1)
WBS000199,3 Medium,KM0000940,0,10,Monday,computer-zOS Server,None,None,One (1)
WBS000110,4 Low,KM0001094,1,10,Monday,application-Desktop Application,None,None,One (1)
WBS000094,5 Very Low,KM0001192,0,10,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000720,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0002043,0,10,Monday,application-Web Based Application,None,None,One (1)
WBS000182,3 Medium,KM0001141,1,10,Monday,storage-Controller,None,None,One (1)
WBS000073,4 Low,KM0000720,0,10,Monday,application-Web Based Application,None,None,Few (2-5)
WBS000128,4 Low,KM0000623,1,10,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0002041,0,10,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001447,0,10,Monday,computer-Laptop,None,None,One (1)
WBS000091,3 Medium,KM0001012,0,10,Monday,application-Desktop Application,None,None,One (1)
WBS000212,4 Low,KM0000467,1,10,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001890,0,10,Monday,application-Server Based Application,None,None,One (1)
WBS000199,3 Medium,KM0000940,0,10,Monday,computer-zOS Server,None,None,One (1)
WBS000091,4 Low,KM0000316,0,10,Monday,displaydevice-Monitor,None,None,One (1)
WBS000146,4 Low,KM0000274,0,11,Monday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000741,1,11,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000263,5 Very Low,KM0000592,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000091,4 Low,KM0000966,1,11,Monday,computer-Laptop,None,None,One (1)
WBS000095,4 Low,KM0000223,0,11,Monday,subapplication-Server Based Application,None,None,Few (2-5)
WBS000223,4 Low,KM0001403,1,11,Monday,application-Server Based Application,None,None,One (1)
WBS000092,4 Low,KM0001127,1,11,Monday,application-Desktop Application,None,None,One (1)
WBS000012,5 Very Low,KM0001971,0,11,Monday,application-Web Based Application,None,None,One (1)
WBS000125,3 Medium,KM0000204,1,11,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000318,3 Medium,KM0000844,0,11,Monday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0000711,1,11,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,11,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000318,5 Very Low,KM0000836,0,11,Monday,application-Web Based Application,None,None,One (1)
WBS000092,3 Medium,KM0001973,0,11,Monday,application-Desktop Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,11,Monday,application-Server Based Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,12,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000247,4 Low,KM0000679,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000244,4 Low,KM0000674,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000110,3 Medium,KM0000833,0,12,Monday,application-Desktop Application,None,None,One (1)
WBS000042,4 Low,KM0000227,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000148,3 Medium,KM0001863,0,13,Monday,application-Web Based Application,None,None,One (1)
WBS000063,4 Low,KM0000297,0,13,Monday,no type-no subtype,None,None,Few (2-5)
WBS000318,5 Very Low,KM0000836,0,13,Monday,application-Web Based Application,None,None,One (1)
WBS000167,5 Very Low,KM0000069,0,13,Monday,application-Web Based Application,None,None,None (0)
WBS000091,4 Low,KM0000316,0,13,Monday,displaydevice-Monitor,None,None,One (1)
WBS000152,5 Very Low,KM0000078,0,13,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001147,0,14,Monday,subapplication-Web Based Application,None,None,Few (2-5)
WBS000073,4 Low,KM0001866,1,14,Monday,application-Server Based Application,None,None,One (1)
WBS000125,5 Very Low,KM0000727,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000092,4 Low,KM0001968,0,14,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001414,1,14,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001773,1,14,Monday,application-Server Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001707,0,14,Monday,application-Client Based Application,None,None,One (1)
WBS000073,4 Low,KM0002041,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000720,0,14,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001773,1,14,Monday,application-Server Based Application,None,None,One (1)
WBS000096,5 Very Low,KM0001925,0,14,Monday,officeelectronics-Printer,None,None,One (1)
WBS000135,4 Low,KM0001251,1,14,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001914,0,14,Monday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001707,0,14,Monday,application-Client Based Application,None,None,One (1)
WBS000284,4 Low,KM0000479,1,14,Monday,software-Automation Software,None,None,One (1)
WBS000073,5 Very Low,KM0001707,0,14,Monday,application-Client Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001707,0,14,Monday,application-Client Based Application,None,None,One (1)
WBS000092,4 Low,KM0002055,0,11,Monday,application-Desktop Application,None,None,One (1)
WBS000091,5 Very Low,KM0001444,0,11,Monday,computer-Laptop,None,None,One (1)
WBS000133,4 Low,KM0000908,0,11,Monday,application-Desktop Application,None,None,One (1)
WBS000092,4 Low,KM0001127,1,11,Monday,application-Desktop Application,None,None,One (1)
WBS000091,5 Very Low,KM0001444,0,12,Monday,computer-Laptop,None,None,One (1)
WBS000152,5 Very Low,KM0000075,0,12,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001828,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000091,4 Low,KM0002040,0,12,Monday,application-Desktop Application,None,None,One (1)
WBS000091,5 Very Low,KM0001444,0,12,Monday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0001365,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001771,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000318,5 Very Low,KM0000836,1,12,Monday,application-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001447,1,12,Monday,computer-Laptop,None,None,One (1)
WBS000152,5 Very Low,KM0001472,1,13,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000819,1,13,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001288,0,13,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,13,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000274,1,13,Monday,computer-Banking Device,None,None,One (1)
WBS000043,3 Medium,KM0001762,1,13,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000720,0,13,Monday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001559,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0002041,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000223,4 Low,KM0001308,1,14,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000023,3 Medium,KM0000940,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001402,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000307,4 Low,KM0001321,0,12,Monday,application-Server Based Application,None,None,One (1)
WBS000318,4 Low,KM0000818,1,13,Monday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001538,0,13,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000318,4 Low,KM0000818,1,13,Monday,application-Web Based Application,None,None,One (1)
WBS000263,5 Very Low,KM0001106,0,13,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,1,13,Monday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001724,0,13,Monday,application-Web Based Application,None,None,One (1)
WBS000088,4 Low,KM0000611,1,13,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0002060,0,13,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000098,4 Low,KM0001278,0,13,Monday,computer-Omgeving,None,None,One (1)
WBS000092,4 Low,KM0002055,0,13,Monday,application-Desktop Application,None,None,One (1)
WBS000223,4 Low,KM0001480,1,13,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001678,1,13,Monday,application-Web Based Application,None,None,Few (2-5)
WBS000092,4 Low,KM0000460,0,14,Monday,application-Desktop Application,None,None,One (1)
WBS000318,4 Low,KM0001401,0,14,Monday,application-Web Based Application,None,None,One (1)
WBS000167,3 Medium,KM0000072,1,14,Monday,application-Web Based Application,None,None,More (>25)
WBS000073,4 Low,KM0000761,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000702,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000110,4 Low,KM0001094,0,14,Monday,application-Desktop Application,None,None,One (1)
WBS000223,4 Low,KM0000947,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000125,4 Low,KM0000206,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000761,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000702,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000072,3 Medium,KM0000644,1,14,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000094,4 Low,KM0000539,0,14,Monday,application-Desktop Application,None,None,One (1)
WBS000130,5 Very Low,KM0001436,0,14,Monday,application-Desktop Application,None,None,One (1)
WBS000263,4 Low,KM0001106,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000818,0,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000223,4 Low,KM0000032,0,15,Monday,application-Server Based Application,None,None,One (1)
WBS000162,4 Low,KM0000553,1,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000125,4 Low,KM0000206,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000130,5 Very Low,KM0001436,0,15,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001930,1,15,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000063,4 Low,KM0001406,0,15,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000751,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000099,3 Medium,KM0000480,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000318,4 Low,KM0000835,0,14,Monday,application-Web Based Application,None,None,One (1)
WBS000073,3 Medium,KM0000776,1,14,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000307,4 Low,KM0001321,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001321,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000017,5 Very Low,KM0000095,0,14,Monday,application-Server Based Application,None,None,One (1)
WBS000298,4 Low,KM0001552,1,14,Monday,application-Web Based Application,None,None,One (1)
WBS000130,5 Very Low,KM0001436,0,15,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000761,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000267,3 Medium,KM0000182,0,15,Monday,hardware-DataCenterEquipment,None,None,One (1)
WBS000073,4 Low,KM0000702,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000223,4 Low,KM0001308,1,15,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000847,0,16,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001773,1,17,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000126,4 Low,KM0000388,1,17,Monday,application-Server Based Application,None,None,Few (2-5)
WBS000152,5 Very Low,KM0001724,1,17,Monday,application-Web Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0001724,1,17,Monday,application-Web Based Application,None,None,One (1)
WBS000223,3 Medium,KM0001505,0,17,Monday,application-Server Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001350,1,6,Tuesday,application-Server Based Application,None,None,One (1)
WBS000095,3 Medium,KM0000223,0,7,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000095,3 Medium,KM0000223,0,8,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,8,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,8,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000091,4 Low,KM0002040,0,8,Tuesday,application-Desktop Application,None,None,One (1)
WBS000167,5 Very Low,KM0000069,1,8,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000720,0,8,Tuesday,application-Web Based Application,None,None,One (1)
WBS000091,4 Low,KM0000316,0,14,Monday,displaydevice-Monitor,None,None,One (1)
WBS000318,5 Very Low,KM0000836,1,14,Monday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001927,0,14,Monday,application-Web Based Application,None,None,Few (2-5)
WBS000088,5 Very Low,KM0001028,1,14,Monday,application-Web Based Application,One,None,One (1)
WBS000011,3 Medium,KM0000049,1,14,Monday,application-Server Based Application,None,None,One (1)
WBS000091,5 Very Low,KM0001444,1,14,Monday,computer-Laptop,None,None,Few (2-5)
WBS000073,4 Low,KM0001887,1,14,Monday,application-Client Based Application,None,None,One (1)
WBS000292,4 Low,KM0001060,0,14,Monday,application-Citrix,None,None,One (1)
WBS000095,4 Low,KM0001345,0,14,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000167,5 Very Low,KM0000069,0,14,Monday,application-Web Based Application,None,None,None (0)
WBS000088,4 Low,KM0000611,0,15,Monday,application-Web Based Application,None,None,One (1)
WBS000091,4 Low,KM0001019,0,15,Monday,computer-Desktop,None,None,One (1)
WBS000091,4 Low,KM0001019,0,15,Monday,computer-Desktop,None,None,One (1)
WBS000088,4 Low,KM0000611,0,15,Monday,application-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001446,0,15,Monday,computer-Desktop,None,None,One (1)
WBS000088,5 Very Low,KM0000611,1,15,Monday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001241,1,15,Monday,application-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001446,0,15,Monday,computer-Desktop,None,None,One (1)
WBS000073,4 Low,KM0001681,0,15,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001681,0,15,Monday,application-Server Based Application,None,None,One (1)
WBS000223,4 Low,KM0000351,1,15,Monday,application-Server Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,15,Monday,computer-Banking Device,None,None,One (1)
WBS000088,4 Low,KM0000611,1,16,Monday,application-Web Based Application,None,None,One (1)
WBS000096,5 Very Low,KM0001925,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000095,4 Low,KM0000223,0,16,Monday,subapplication-Server Based Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000088,3 Medium,KM0000611,0,16,Monday,application-Web Based Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000096,4 Low,KM0001026,0,16,Monday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000827,0,15,Monday,application-Web Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001321,0,15,Monday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0002060,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001346,0,15,Monday,application-Client Based Application,None,None,One (1)
WBS000073,4 Low,KM0000818,0,15,Monday,subapplication-Web Based Application,None,None,One (1)
WBS000096,5 Very Low,KM0001925,0,15,Monday,officeelectronics-Printer,None,None,One (1)
